 INFO  Accepting connections at http://localhost:3000
 HTTP  4/19/2026 2:43:07 PM ::1 GET /
 HTTP  4/19/2026 2:43:07 PM ::1 Returned 200 in 24 ms
 HTTP  4/19/2026 2:43:24 PM ::1 GET /
 HTTP  4/19/2026 2:43:24 PM ::1 Returned 200 in 9 ms
 HTTP  4/19/2026 2:43:24 PM ::1 GET /styles.css?v=5
 HTTP  4/19/2026 2:43:24 PM ::1 GET /photos/Logo.png
 HTTP  4/19/2026 2:43:24 PM ::1 Returned 200 in 4 ms
 HTTP  4/19/2026 2:43:24 PM ::1 GET /script.js?v=2
 HTTP  4/19/2026 2:43:24 PM ::1 Returned 200 in 7 ms
 HTTP  4/19/2026 2:43:24 PM ::1 Returned 200 in 4 ms
 HTTP  4/19/2026 2:43:25 PM ::1 GET /photos/Logo.png
 HTTP  4/19/2026 2:43:25 PM ::1 Returned 304 in 2 ms
 HTTP  4/19/2026 2:45:51 PM ::1 GET /
 HTTP  4/19/2026 2:45:51 PM ::1 Returned 200 in 3 ms
 HTTP  4/19/2026 2:45:51 PM ::1 GET /styles.css?v=5
 HTTP  4/19/2026 2:45:51 PM ::1 GET /photos/Logo.png
 HTTP  4/19/2026 2:45:51 PM ::1 Returned 200 in 3 ms
 HTTP  4/19/2026 2:45:51 PM ::1 Returned 200 in 3 ms
 HTTP  4/19/2026 2:45:51 PM ::1 GET /script.js?v=2
 HTTP  4/19/2026 2:45:51 PM ::1 Returned 200 in 1 ms
 HTTP  4/19/2026 2:45:51 PM ::1 GET /photos/Logo.png
 HTTP  4/19/2026 2:45:51 PM ::1 Returned 304 in 1 ms
 HTTP  4/19/2026 2:48:54 PM ::1 GET /photos/pexels-charliehelenrobinson-4531307.jpg
 HTTP  4/19/2026 2:48:54 PM ::1 GET /photos/pexels-cais-4680222.jpg
 HTTP  4/19/2026 2:48:54 PM ::1 Returned 200 in 5 ms
 HTTP  4/19/2026 2:48:54 PM ::1 Returned 200 in 9 ms
